	Joy	Sadness	Neutral	Disgust	Anger	Surprise	Fear
34	-0.750841415574	-0.204440929169	2.05799491998	-0.332043436202	-0.746239679934	0.349642779459	0.256604408533
35	0.599664695983	-0.364452891644	0.986360546826	-0.42686601649	0.00413306372482	0.0334869864355	-0.416347391366
350	-0.344420732905	-0.499757542512	1.24132841673	0.699353596938	-0.663851392733	-0.268221273146	-0.108655848842
36	0.396921797965	-0.482878044222	0.525937790084	0.416746852458	-0.665535785515	0.0994451742404	0.627082394526
360	-0.33788744877	-0.83685004072	1.8539254898	-0.380928850264	0.0643687498576	-1.09966431419	-0.499710580773
37	0.29053697553	0.360266575899	0.559287931306	0.121749051213	-0.561375644539	-0.0617896564694	0.0601494112368
38	-0.0870293405113	-0.342751866096	0.894992223852	0.678886095264	-0.474167526045	0.577906174262	-0.236811365633
39	-0.49871619786	-0.252798808813	1.11226308495	0.760367234711	-0.926316254812	0.21149613903	0.0347597790941
3am	0.167819891481	0.0447972685844	-1.19021737046	-0.534342894838	0.295864669711	-0.268411222463	1.21987618685
3d	0.881007462631	-2.07842850075	2.18423048999	-1.32995701204	-2.03320437736	-0.993387278454	-0.993475637568
3g	-2.05418552435	-0.549783067921	0.646899452595	-0.310214006922	0.850735661587	1.79573215104	-1.32437674394
3rd	-0.266991182255	-0.276295969017	-0.152362606862	-0.220654466941	0.752065632752	0.551198955896	0.188969087684
3rd time	-0.531277844046	0.0600628583387	-0.89959284806	-0.859586299481	2.50154663539	-0.854278747116	-1.46833167867
40	-0.123864930298	0.132895263044	0.599664014407	0.145734297924	0.324262797214	-0.171352208021	-0.264146148172
40 minutes	-0.659878868091	-0.506565788673	-0.389330289286	0.562909682674	0.888451494484	-0.487907960009	-0.168077688495
400	0.29873935853	-0.36837516079	1.12710426986	-0.346330127207	0.119484093682	0.692297743894	-0.440148483906
41	0.0225905663518	0.266112487624	1.1709102793	0.0597494453099	-0.808792127268	0.508198767721	-0.313166435041
42	-0.286195056874	0.289904282058	1.44802510272	-0.093250384651	-0.335767666128	0.0104161063966	-0.729068866777
43	-0.755047291895	-0.597393465029	2.04338272493	-0.272806066529	-0.850957840033	0.267025761938	-0.23170813721
44	-0.0262352313553	0.419425964839	0.727869951239	0.0395163819426	-0.506899877384	-0.225722890893	0.178417736005
45	0.360161389021	-0.704281774139	0.318441021106	-0.22135579663	0.689521702154	0.19234800944	-0.630568515449
45 minutes	-0.433092558515	-0.0894690867906	-0.832946211686	-0.747272325462	0.87158301809	-0.901385570831	0.528664237742
46	-0.262513482043	0.283437236271	1.47002257677	-0.926139077221	-0.0153986970673	-0.0295218177885	-0.016451725272
47	-0.29867029312	-0.379421638501	2.5512623721	-0.544606104111	-0.639439330155	-0.696829793502	-0.060597433205
48	-0.331530891361	-0.658694388469	2.2198966488	0.15505773539	-0.40714675636	-0.0308115919167	0.0288044692361
49	-0.350369013973	-0.177151979587	1.34547163926	0.26171279267	-0.302347734747	0.357000859837	-0.406401044655
4am	0.448490809694	-0.149429008994	-0.549684627831	0.394703977734	0.121449678009	0.17103498876	0.308001502601
4c	-2.00602977298	-1.17040994	4.76063715298	-1.68501506408	-1.22294571191	-1.07362126657	-2.34856709532
4g	-0.979293861726	-2.20797691156	2.86973983828	-1.80851872016	0.0568955406881	0.327996515937	-2.49173729625
4s	-0.181942685517	-1.0254495843	2.1422002921	-0.53540308536	-0.274871362835	-0.636303490508	-0.852364492121
4th	0.169605250872	-0.343570406551	-0.0742454367007	0.137504952208	0.809625987449	0.791945110963	-0.646431487252
50	0.0543115707766	-0.359237735922	1.16875788087	-0.403173285062	0.470646471901	0.595114103461	-0.941355527726
50 shades	-0.507590212085	0.0760028970835	-1.63469022185	2.02993637245	0.0664585666978	0.0867398333216	-0.15112324199
50 shades of	-0.601902489454	-0.944232502512	1.00517308992	0.0245030349897	0.2787840035	0.0176349928018	0.461048151126
500	-0.211366573825	-0.132628800182	1.80750570959	-0.361734778597	-0.297109008587	-0.215652162582	-0.752668713592
50anscarrefour	-3.27021741586	-2.8126035057	6.62327450864	-2.64699213243	-2.54522883035	-1.94912967557	-2.14081993634
51	-0.270500185125	-0.783885874325	1.6505703641	-0.130022277106	-0.064213994481	0.409210148644	-0.0682170384533
